,ProjectName,ProjectAge,TotalWatchers,TotalCommitters,TotalCommits,TotalClosedIssues,PullRequestDuration,PullRequestCommentDuration,CommitsDuration,IssueCommentsDuration,PullRequestAcceptedDuration,PullRequestRejectedDuration,AvgPullRequestComments,UpstreamDependencies,DownstreamDependencies,Vindex
39,rust-encoding,1684,147,14,300,23,0,0,0,0,0,0,2,0,5,1
40,rust-error,1302,16,1,68,6,0,83,482,0,1,0,2,16,239,16
41,eventfd-rust,1197,1,1,25,0,0,0,348,0,0,0,1,1,1,0
42,fftw3-rs,1211,8,3,39,0,0,1,2,8,0,0,3,1,1,0
43,rust-fuse,1613,261,10,421,22,0,0,38,0,2,2,3,18,35,2
44,gdk,1072,12,6,150,20,55,338,131,3,0,0,5,4,19,1
45,genmesh,1301,26,3,26,6,8,2,8,420,0,0,2,1,10,3
46,git2-rs,1316,247,24,1785,73,0,0,0,0,0,0,10,10,62,2
47,glium,1253,63,1,14,7,0,0,1059,0,0,0,4,5,63,4
48,glium,1253,63,1,14,7,0,0,1059,0,0,0,4,0,1,1
49,glutin,1321,757,35,2125,239,0,0,2,0,0,0,2,3,46,5
50,glob,1295,39,4,30,3,0,0,252,0,0,1,10,16,15215,201
51,RustGnuplot,1738,81,5,477,11,0,466,0,0,1,0,1,3,59,2
52,rust-GSL,1323,61,5,284,6,0,0,0,0,0,0,2,7,61,8
53,handlebars-rust,1177,197,5,890,82,0,0,0,2,1,1,2,15,4980,87
54,handlebars-iron,1161,118,6,438,32,0,331,0,0,1,1,2,6,6,0
55,iobuf,1286,30,5,360,4,14,18,18,24,1,0,11,4,4,1
56,irc,1279,215,3,374,56,0,0,0,0,0,0,4,14,225,8
57,iron,1371,4499,30,676,178,0,0,0,0,0,0,2,21,149,10
58,rust-itertools,1323,309,19,544,57,0,0,0,0,1,0,2,8,255,11
59,kiss3d,1731,322,7,445,35,0,0,0,0,0,1,4,4,5,1
60,rust-lazy,1321,92,2,67,4,0,0,119,8,0,6,3,5,159,9
61,libc,1154,207,40,1329,105,0,0,0,2,1,1,3,3,1727,37
62,git2-rs,1319,247,24,1785,73,0,0,0,0,0,0,10,4,3,2
63,lmdb-rs,1426,77,12,799,15,1,4,5,0,2,1,2,1,2,1
64,nanomsg.rs,1647,254,5,201,38,0,51,3,0,0,0,3,1,1,1
65,link-config,1343,16,4,35,4,0,0,10,4,0,0,6,0,1,1
66,lmdb-rs,1205,35,9,137,5,0,348,1,0,1,0,3,11,9,1
67,lmdb-rs,1426,77,12,799,15,1,4,5,0,2,1,2,3,1,0
68,log,1185,196,17,164,55,0,0,6,1,1,0,4,4,1565,37
69,logger,1365,24,12,113,26,0,0,16,0,1,0,4,3,173,5
70,matrix,1254,15,2,617,0,0,1,826,24,0,0,32,22,626,22
71,rust-memcache,1706,14,3,148,5,2,0,0,350,0,0,2,8,41,4
72,mime,1293,5,1,11,8,0,0,76,2,0,311,1,7,3725,85
73,rust-modifier,1230,21,1,29,8,0,0,684,0,110,0,4,2,8,3
74,mopa,1162,33,1,25,4,0,0,514,0,0,10,1,0,10,3
75,mount,1363,43,11,136,18,0,0,32,0,0,0,1,6,25,2
76,multipart,1238,35,7,235,19,0,10,0,0,1,0,2,2,36,3
77,rust-mustache,1220,61,10,111,17,0,0,2,16,1,0,3,11,2139,45
78,rust-mysql-simple,1483,177,7,670,65,0,0,0,0,1,0,2,11,3343,36
79,nalgebra,1763,542,21,766,116,0,130,0,0,1,0,2,2,70,5
80,nanomsg.rs,1647,254,5,201,38,0,51,3,0,0,0,3,7,16,2
81,ncollide,1763,404,12,668,59,0,334,0,0,0,0,8,1,9,1
82,noise-rs,1687,55,7,47,25,14,15,19,0,1,0,10,7,9,2
83,nom,1205,1636,20,1061,188,0,0,0,0,6,2,3,9,228,5
84,oauth2-rs,1349,27,4,270,4,4,2,116,44,0,2,9,17,473,11
85,obj,281,5,2,7,0,31,0,22,0,0,2,5,10,8,2
86,rust-objc,1366,111,2,777,36,0,0,552,0,0,7,16,14,29,6
87,rust-objc,1366,111,2,777,36,0,0,552,0,0,7,16,1,2,2
88,rust-openssl,1536,318,57,1975,261,0,0,0,0,0,1,3,8,251,15
89,rust-openssl,1536,318,57,1975,261,0,0,0,0,0,1,3,2,22,5
90,opentype,1309,15,2,514,0,35,7,543,10,1,0,65,11,6,1
91,rust-ordered-float,1234,15,3,36,9,0,0,0,0,19,1,1,1,24,3
92,rust-peg,1668,389,10,353,76,0,0,0,0,0,1,3,23,23,2
93,petgraph,1177,209,6,323,27,0,0,0,1,0,0,7,1,34,4
94,persistent,1359,34,9,141,8,0,0,0,0,0,0,2,10,25,2
95,rust-phf,1516,258,10,611,36,0,0,0,0,0,0,2,2,54,6
96,rust-phf,1516,258,10,611,36,0,0,0,0,0,0,2,2,4,2
97,rust-phf,1516,258,10,611,36,0,0,0,0,0,0,2,1,9,5
98,sdl2_window,1357,16,13,162,30,0,0,0,0,0,0,2,5,19,3
99,rust-plugin,1308,22,4,47,3,0,10,4,2,10,0,20,6,56,8
100,libpnet,1290,510,15,363,22,0,2,9,0,0,0,4,7,11,1
101,rust-portaudio,1650,88,1,16,2,0,0,501,0,0,0,3,4,11,2
102,rust-postgres,1694,818,17,2440,187,0,0,0,0,0,0,2,14,55,2
103,pretty.rs,1244,13,2,30,3,173,0,161,0,2,26,5,5,123,9
104,probability,1242,16,5,611,3,16,3,1,41,0,0,5,4,4,1
105,rust-cpython,1163,566,10,306,43,0,0,0,1,1,0,10,1,1,1
106,r2d2,1316,229,4,425,24,0,3,0,0,0,1,7,10,37,3
107,racer,1471,118,3,32,60,0,42,39,0,1,24,4,19,31,3
108,redis-rs,1535,674,10,339,38,0,16,0,0,4,1,19,23,5974,45
109,regex,1188,253,17,874,98,0,0,0,0,0,0,3,7,753,20
110,regex,1188,253,17,874,98,0,0,0,0,0,0,3,1,37,6
111,roaring-rs,1172,50,3,274,9,1,0,832,1,0,0,5,1,4,1
112,rust-rocksdb,1213,167,7,256,30,0,0,0,0,1,0,4,20,7,1
113,router,1365,140,18,281,34,0,6,0,0,0,0,2,7,162,8
114,route-recognizer.rs,1534,25,3,39,2,0,0,142,0,0,0,3,1,59,7
115,rusqlite,1225,225,8,696,75,0,0,125,0,0,0,2,2,35,3
116,rustbox,1335,312,6,153,18,0,0,0,5,0,0,3,2,9,0
117,rustfmt,1102,803,47,847,766,0,0,0,0,1,1,3,11,9,1
118,secrets,1190,61,4,409,1,0,0,0,0,0,0,3,3,1,1
119,semver,1317,68,4,429,20,0,0,155,0,0,2,2,17,8716,173
120,rust_sequence_trie,1289,13,4,70,11,0,268,0,0,1,0,3,0,3,1
121,serde,1576,1001,26,1476,490,0,0,0,0,0,2,3,2,1652,36
122,rust-slack,1309,71,4,251,3,0,0,525,1,0,0,6,3,2,0
123,slack-rs,1175,58,7,50,22,0,2,3,47,7,0,2,15,47,2
124,stainless,1254,343,6,135,32,0,241,0,0,0,0,3,0,18,3
125,strided-rs,1208,4,3,55,0,0,0,101,0,10,109,3,1,3,1
126,syntex,1190,93,6,269,25,0,61,168,0,1,1,1,1,189,8
127,syntex,1190,93,6,269,25,0,61,168,0,1,1,1,1,55,9
128,syntex,1190,93,6,269,25,0,61,168,0,1,1,1,0,1,1
129,tabwriter,1278,68,3,73,5,557,0,2,5,0,150,1,2,20,1
130,tar-rs,1330,76,15,1444,53,0,0,3,3,0,1,4,12,1063,41
131,term,1166,49,4,91,13,0,8,0,0,0,25,7,20,113,11
132,rs-tiled,1248,49,4,106,6,5,0,0,0,2,0,1,9,1,0
133,time,1214,36,7,574,6,0,234,69,0,0,0,20,10,795,23
134,toml-rs,1357,304,21,1422,101,0,0,0,0,0,0,3,18,520,18
135,rust-traverse,1180,9,4,49,1,10,24,79,46,0,0,3,8,778,27
136,rust-uchardet,1206,10,3,87,2,8,2,0,0,2,0,25,2,2,0
137,rust-uchardet,1206,10,3,87,2,8,2,0,0,2,0,25,1,1,1
138,unicase,1261,11,3,45,4,0,208,0,0,4,0,2,1,30,6
139,unicode_names,1297,9,5,115,2,0,0,15,9,0,0,10,1,1,1
140,unicode_names,1297,9,5,115,2,0,0,15,9,0,0,10,3,1,1
141,rust-users,1182,18,2,80,4,0,0,483,0,1,0,2,2,11,1
142,rust-utp,1325,67,4,1140,10,4,0,312,20,0,1,1,3,7,2
143,uuid,1317,76,6,302,14,0,0,131,0,1,1,2,9,7171,79
144,vecmath,1335,34,4,152,129,0,0,2,0,0,0,1,3,38,5
145,vorbis-rs,1222,8,1,40,1,0,0,714,0,0,0,2,8,10,2
146,wavefront_obj,1317,20,7,64,17,0,0,0,0,0,0,19,0,4,0
147,rust-websocket,1197,403,19,565,71,0,0,0,0,1,0,2,7,729,17
148,xml-rs,1370,176,10,282,32,0,0,0,0,1,0,3,1,92,6
149,rust-zmq,2276,267,22,369,44,0,0,0,0,1,5,2,7,417,32
150,rust-zmq,2276,267,22,369,44,0,0,0,0,1,5,2,1,1,1
151,crc64-rs,1240,1,4,45,0,51,0,158,122,0,0,2,0,1,0
152,glfw-rs,1375,58,4,33,11,0,0,0,0,0,0,2,6,16,2
153,glib-sys,1139,3,1,69,0,26,0,288,0,0,2,4,1,4,2
154,markdown.rs,1268,46,6,115,7,0,0,37,0,30,2,4,16,839,29
155,maud,1177,300,10,430,70,0,86,0,1,1,2,2,1,5,2
156,maud,1177,300,10,430,70,0,86,0,1,1,2,2,1,3,2
157,rust-phf,1511,258,10,611,36,0,0,0,0,0,0,2,2,22,4
158,RustFFT,1138,46,4,105,8,406,239,258,0,2,1,4,2,10,1
159,combine,1151,310,7,532,34,0,6,46,0,0,24,3,4,2,1
160,cam,1296,14,10,53,14,1,0,0,0,0,0,4,4,1,1
161,log,1181,196,17,164,55,0,0,6,1,1,0,4,2,559,17
162,mailchecker,1830,832,8,339,34,0,0,0,0,1,1,4,12,4,0
163,log4rs,1136,131,3,426,31,0,307,3,0,0,1,3,3,22,2
164,bytes,1133,129,26,464,39,0,15,0,1,1,1,3,5,605,39
165,rust-bio,1138,329,16,495,29,20,60,6,7,2,0,7,31,162,4
166,gfx_macros,1102,2,6,25,1,0,20,4,21,0,0,5,1,3,1
167,rustlex,1445,103,5,166,10,0,314,0,0,2,4,2,1,1,0
168,termios-rs,1131,20,2,48,3,0,0,180,36,0,2,1,6,55,6
169,rand,1129,95,9,89,15,0,0,7,0,2,0,2,3,1201,31
170,sass-rs,1130,16,3,74,1,0,0,413,0,1,0,5,1,1,0
171,sass-rs,1130,16,3,74,1,0,0,413,0,1,0,5,1,1,1
172,byteorder,1129,219,9,166,45,0,0,0,0,1,1,2,1,615,15
173,rand,1129,95,9,89,15,0,0,7,0,2,0,2,1,4,2
174,git2-rs,1315,247,24,1785,73,0,0,0,0,0,0,10,6,1,1
175,svg,1124,20,3,235,2,0,0,599,0,0,0,16,7,54,3
176,collision-rs,368,8,6,25,1,0,40,0,7,0,0,2,2,1,1
177,rust-void,1122,30,2,22,3,36,0,216,0,0,6,2,4,47,6
178,nanomsg.rs,1643,254,5,201,38,0,51,3,0,0,0,3,1,1,1
179,core-foundation-rs,2016,16,10,83,5,2,1,2,144,0,0,4,1,19,5
180,core-graphics-rs,1966,10,9,113,2,46,0,189,72,0,0,6,25,12,3
181,cocoa-rs,2163,138,13,96,9,0,0,1,1,0,0,2,16,20,3
182,sample,1119,67,5,100,11,0,438,204,0,1,0,3,10,13,1
183,dbus-rs,1201,91,7,289,59,0,0,0,3,1,1,3,6,45,4
184,liquid-rust,1215,76,17,457,31,1,4,10,40,1,2,7,8,296,11
185,simple_parallel,1113,90,4,87,1,0,0,108,0,0,2,2,2,5,1
186,httparse,1112,98,6,116,10,0,0,9,24,0,0,1,4,30,6
